T (K),Lambda(T),H_Coll,H_el
1.4622e6,2.8141e-13,1.1778e-9,2.3329e-11
1.6218e6,3.2229e-13,1.3486e-9,2.6962e-11
1.7989e6,3.6664e-13,1.5338e-9,3.1038e-11
1.9953e6,4.1395e-13,1.7312e-9,3.5566e-11
2.2131e6,4.6358e-13,1.9380e-9,4.0547e-11
2.4547e6,5.1471e-13,2.1508e-9,4.5970e-11
2.7227e6,5.6649e-13,2.3660e-9,5.1820e-11
3.0200e6,6.1806e-13,2.5798e-9,5.8073e-11
3.3497e6,6.6857e-13,2.7888e-9,6.4704e-11
3.7154e6,7.1728e-13,2.9897e-9,7.1684e-11
4.1210e6,7.6357e-13,3.1800e-9,7.8989e-11
4.5709e6,8.0695e-13,3.3575e-9,8.6594e-11
5.0699e6,8.4707e-13,3.5209e-9,9.4480e-11
5.6234e6,8.8374e-13,3.6692e-9,1.0264e-10
6.2373e6,9.1686e-13,3.8022e-9,1.1105e-10
6.9183e6,9.4648e-13,3.9199e-9,1.1973e-10
7.6736e6,9.7271e-13,4.0229e-9,1.2867e-10
8.5114e6,9.9574e-13,4.1120e-9,1.3788e-10
9.4406e6,1.0158e-12,4.1882e-9,1.4738e-10
1.0471e7,1.0332e-12,4.2526e-9,1.5719e-10
1.1614e7,1.0482e-12,4.3063e-9,1.6734e-10
1.2882e7,1.0610e-12,4.3506e-9,1.7785e-10
1.4289e7,1.0720e-12,4.3866e-9,1.8874e-10
1.5849e7,1.0814e-12,4.4155e-9,2.0006e-10
1.7579e7,1.0895e-12,4.4381e-9,2.1184e-10
1.9498e7,1.0964e-12,4.4554e-9,2.2412e-10
2.1627e7,1.1024e-12,4.4683e-9,2.3692e-10
2.3988e7,1.1077e-12,4.4775e-9,2.5030e-10
2.6607e7,1.1124e-12,4.4835e-9,2.6430e-10
2.9512e7,1.1167e-12,4.4870e-9,2.7896e-10
3.2734e7,1.1206e-12,4.4883e-9,2.9432e-10
3.6308e7,1.1242e-12,4.4878e-9,3.1043e-10
4.0272e7,1.1277e-12,4.4858e-9,3.2733e-10
4.4668e7,1.1311e-12,4.4826e-9,3.4508e-10
4.9545e7,1.1345e-12,4.4783e-9,3.6373e-10
5.4954e7,1.1378e-12,4.4730e-9,3.8333e-10
6.0954e7,1.1412e-12,4.4667e-9,4.0394e-10
6.7608e7,1.1446e-12,4.4596e-9,4.2562e-10
7.4989e7,1.1480e-12,4.4515e-9,4.4842e-10
8.3176e7,1.1516e-12,4.4425e-9,4.7241e-10
9.2257e7,1.1551e-12,4.4324e-9,4.9765e-10
1.0233e8,1.1587e-12,4.4210e-9,5.2422e-10
1.1350e8,1.1622e-12,4.4082e-9,5.5219e-10
1.2589e8,1.1657e-12,4.3937e-9,5.8163e-10
1.3964e8,1.1691e-12,4.3773e-9,6.1263e-10
1.5488e8,1.1724e-12,4.3586e-9,6.4526e-10
1.7179e8,1.1754e-12,4.3372e-9,6.7962e-10
1.9055e8,1.1782e-12,4.3126e-9,7.1580e-10
2.1135e8,1.1804e-12,4.2843e-9,7.5390e-10
2.3442e8,1.1822e-12,4.2516e-9,7.9402e-10
2.6002e8,1.1832e-12,4.2137e-9,8.3627e-10
2.8840e8,1.1833e-12,4.1697e-9,8.8076e-10
3.1989e8,1.1823e-12,4.1186e-9,9.2762e-10
3.5481e8,1.1800e-12,4.0592e-9,9.7696e-10
3.9355e8,1.1759e-12,3.9900e-9,1.0289e-9
4.3652e8,1.1699e-12,3.9094e-9,1.0836e-9
4.8417e8,1.1614e-12,3.8154e-9,1.1413e-9
5.3703e8,1.1499e-12,3.7058e-9,1.2020e-9
5.9566e8,1.1349e-12,3.5779e-9,1.2659e-9
6.6069e8,1.1157e-12,3.4286e-9,1.3332e-9
7.3282e8,1.0915e-12,3.2543e-9,1.4041e-9
8.1283e8,1.0613e-12,3.0507e-9,1.4788e-9
9.0157e8,1.0240e-12,2.8131e-9,1.5574e-9
1.0000e9,9.7836e-13,2.5355e-9,1.6402e-9
